dimension,train_r2,val_r2,test_r2,train_mse,val_mse,test_mse,train_rmse,val_rmse,test_rmse
prefer,0.885,0.6954,0.7732,0.2435,0.568,0.5093,0.4934,0.7537,0.7137
monotonous,0.8415,0.5691,0.56,0.3526,0.8936,0.7041,0.5938,0.9453,0.8391
quiet,0.813,0.504,0.5745,0.3766,1.1658,0.8567,0.6137,1.0797,0.9256
extensive,0.8739,0.76,0.7431,0.2612,0.5307,0.5185,0.5111,0.7285,0.7201
vivid,0.867,0.636,0.6681,0.2749,0.6725,0.7704,0.5243,0.8201,0.8777
oppressive,0.8724,0.7101,0.739,0.2494,0.6497,0.5944,0.4994,0.806,0.7709
