dimension,config,split_scheme,fold,n_train,n_val,n_test,best_epoch,val_r2,test_r2,test_mse,test_rmse,test_r2_mean,test_r2_std,test_mse_mean,test_mse_std,test_rmse_mean,test_rmse_std
vivid,full,spatial_block,1,306,71,122,25,0.6273265590653867,0.597231843196525,0.8915894120633753,0.944240124154537,0.561986940787283,0.0809733324710969,0.8819039242140336,0.11817887133646542,0.9374352183705301,0.06244132818724881
vivid,full,spatial_block,2,270,149,80,20,0.6503219242174472,0.5365992067308356,1.0515973096724234,1.0254741877163087,0.561986940787283,0.0809733324710969,0.8819039242140336,0.11817887133646542,0.9374352183705301,0.06244132818724881
vivid,full,spatial_block,3,300,85,114,19,0.6360066792894836,0.6681392560823143,0.7703612618565379,0.8777022626474982,0.561986940787283,0.0809733324710969,0.8819039242140336,0.11817887133646542,0.9374352183705301,0.06244132818724881
vivid,full,spatial_block,4,329,73,97,16,0.5741458756589106,0.44766804484148004,0.9261928756276433,0.9623891497869473,0.561986940787283,0.0809733324710969,0.8819039242140336,0.11817887133646542,0.9374352183705301,0.06244132818724881
vivid,full,spatial_block,5,306,107,86,17,0.6636811195186303,0.5602963530852593,0.7697787618501886,0.8773703675473594,0.561986940787283,0.0809733324710969,0.8819039242140336,0.11817887133646542,0.9374352183705301,0.06244132818724881
