,Prefer,Monotonous,Quiet,Extensive,Vivid,Oppressive
Ridge,0.017838615617927617,0.12544823212838221,0.18201068570788403,0.05829726553661954,0.1011463576821101,0.035652758815479996
Lasso,0.021977347481951983,0.131770606231452,0.14798335675723967,0.03809000566947618,0.11613474181733063,0.04737783485017225
ElasticNet,0.019792239338869304,0.1246301194273438,0.15077038511482838,0.039951547112248534,0.11377621684554913,0.04334939293597642
PLS,0.016145967345064755,0.12860547913192358,0.18390870105149693,0.057488791235593056,0.10396384624895066,0.03514636010788269
RandomForest,0.05510938889276718,0.12118177698685519,0.08447410040701192,0.0707066547549358,0.08185994938422408,0.0313868997989873
SVR,0.056388071457906995,0.09518711375933148,0.09362138683655853,0.05067156433780845,0.10988560659710404,0.03354224075801279
XGBoost,0.04342037182878335,0.11529434523902136,0.059614655381653156,0.07677095361520966,0.09136868227245212,0.01848069429948056
Hybrid Neural Network,0.0177269772608585,0.1712927527431342,0.0585822095348803,0.056687590376278,0.0624413281872488,0.0836156291480712
