,Prefer,Monotonous,Quiet,Extensive,Vivid,Oppressive
Ridge,0.8402122772210386,1.2295051094911658,1.17601306575381,0.8742821368059126,1.1167759454395187,0.936744272356767
Lasso,0.8494363334158287,1.2347662892082059,1.1810257915407356,0.880599763498689,1.1516012671854017,0.9553200843722488
ElasticNet,0.8328289961319821,1.222680341748561,1.1597828772669607,0.8730810579753545,1.1203361118151427,0.9404546064842242
PLS,0.8429846082391192,1.2320152091941492,1.178421446847366,0.875635192431678,1.1185271878052523,0.9400324142910674
RandomForest,0.854246506312341,1.1403419302966444,1.0271936105611854,0.8383683372224237,1.0609235946025355,0.9196006459014183
SVR,0.8515805994014372,1.1391685728847465,1.0707955726238976,0.8908797784803145,1.0710927813132887,0.931533662961812
XGBoost,0.8812672610055332,1.225446443568907,1.0537106846970485,0.9183902887725877,1.0786488549836322,0.9451147693282825
Hybrid Neural Network,0.7241807045536409,1.0253844929574625,1.0164440118091158,0.8023778056716402,0.93743521837053,0.8507068650744214
