dimension,test_r2_mean,test_r2_std,test_mse_mean,test_mse_std,test_rmse_mean,test_rmse_std
prefer,0.7482458080441339,0.0220687584691359,0.5246890894260534,0.0255311116476627,0.7241807045536409,0.0177269772608585
monotonous,0.4905655584899978,0.0786576333639099,1.0748863241114883,0.3546893706618424,1.0253844929574625,0.1712927527431342
quiet,0.5048443829985088,0.0609891967729467,1.0359039293618006,0.1168935217481112,1.0164440118091158,0.0585822095348803
extensive,0.6896875970335966,0.0450401512000182,0.6463809293565714,0.0898162238073392,0.8023778056716402,0.056687590376278
vivid,0.561986940787283,0.0809733324710969,0.8819039242140336,0.1181788713364654,0.93743521837053,0.0624413281872488
oppressive,0.6434359691326572,0.096752039009428,0.7292954290350121,0.143758382362388,0.8507068650744214,0.0836156291480712
