dimension,config,split_scheme,fold,n_train,n_val,n_test,best_epoch,val_r2,test_r2,test_mse,test_rmse,test_r2_mean,test_r2_std,test_mse_mean,test_mse_std,test_rmse_mean,test_rmse_std
oppressive,full,spatial_block,1,305,111,83,9,0.6353187201156344,0.49330075934395035,0.9258785840894149,0.9622258487950814,0.6434359691326572,0.09675203900942807,0.7292954290350121,0.14375838236238808,0.8507068650744214,0.08361562914807123
oppressive,full,spatial_block,2,292,133,74,22,0.7101084751892025,0.7389617295227218,0.5943565386721387,0.7709452241710423,0.6434359691326572,0.09675203900942807,0.7292954290350121,0.14375838236238808,0.8507068650744214,0.08361562914807123
oppressive,full,spatial_block,3,270,82,147,19,0.7245812058592248,0.7104756153311811,0.5922147773034545,0.7695549215640521,0.6434359691326572,0.09675203900942807,0.7292954290350121,0.14375838236238808,0.8507068650744214,0.08361562914807123
oppressive,full,spatial_block,4,327,87,85,13,0.6751801079107521,0.6126596509455868,0.812708368917821,0.9015033937361638,0.6434359691326572,0.09675203900942807,0.7292954290350121,0.14375838236238808,0.8507068650744214,0.08361562914807123
oppressive,full,spatial_block,5,267,122,110,32,0.6709739865024281,0.6617820905198459,0.7213188761922315,0.8493049371057674,0.6434359691326572,0.09675203900942807,0.7292954290350121,0.14375838236238808,0.8507068650744214,0.08361562914807123
