dimension,config,split_scheme,fold,n_train,n_val,n_test,best_epoch,val_r2,test_r2,test_mse,test_rmse,test_r2_mean,test_r2_std,test_mse_mean,test_mse_std,test_rmse_mean,test_rmse_std
prefer,full,spatial_block,1,308,97,94,15,0.7590284311505182,0.7383694030980437,0.5483370121610855,0.7404978137449736,0.7482458080441339,0.02206875846913591,0.5246890894260534,0.025531111647662794,0.7241807045536409,0.017726977260858503
prefer,full,spatial_block,2,306,97,96,6,0.6825359833850227,0.7530991698944715,0.5322847953030357,0.7295785052364384,0.7482458080441339,0.02206875846913591,0.5246890894260534,0.025531111647662794,0.7241807045536409,0.017726977260858503
prefer,full,spatial_block,3,294,64,141,13,0.8205661527628791,0.7606834279528624,0.48821795577698507,0.6987259518416251,0.7482458080441339,0.02206875846913591,0.5246890894260534,0.025531111647662794,0.7241807045536409,0.017726977260858503
prefer,full,spatial_block,4,310,106,83,13,0.6954188430459882,0.773216381673675,0.5093219540868352,0.7136679578675472,0.7482458080441339,0.02206875846913591,0.5246890894260534,0.025531111647662794,0.7241807045536409,0.017726977260858503
prefer,full,spatial_block,5,308,106,85,26,0.8382917165595156,0.7158606576016173,0.5452837298023252,0.7384332940776203,0.7482458080441339,0.02206875846913591,0.5246890894260534,0.025531111647662794,0.7241807045536409,0.017726977260858503
