dimension,test_r2_mean,test_r2_std,test_mse_mean,test_mse_std,test_rmse_mean,test_rmse_std
prefer,0.7335996694650669,0.0201728217972764,0.555420766506284,0.0201456902989806,0.7451665644886276,0.0135811300385889
monotonous,0.4441379183455075,0.0395020027626989,1.1499040376546472,0.2421203133907313,1.0676386181283308,0.1120927001173335
quiet,0.4755420705077351,0.0384045938771468,1.1015877579893574,0.1276824724201802,1.0481590265763774,0.0607290395508837
extensive,0.6968731283357918,0.0441753921011596,0.6306727170963138,0.0846111721771086,0.7927116293759823,0.0533969773066455
vivid,0.5924648073844118,0.0633414349751126,0.8189646550758976,0.036267775413807,0.9047913313818472,0.0199155006264623
oppressive,0.6274275387775631,0.0580040759919327,0.7706218532531661,0.1146187840833351,0.8760638919694651,0.0625890409784288
