dimension,config,split_scheme,fold,n_train,n_val,n_test,best_epoch,val_r2,test_r2,test_mse,test_rmse,test_r2_mean,test_r2_std,test_mse_mean,test_mse_std,test_rmse_mean,test_rmse_std
extensive,resnet50_semantic_colour_no_floor,spatial_block,1,327,90,82,13,0.7004862733304449,0.7280480191413394,0.5564834856707639,0.7459782072358172,0.7100218505247176,0.027527347554188338,0.6049013700311999,0.06389105788880911,0.7768784845303279,0.04124909552131222
extensive,resnet50_semantic_colour_no_floor,spatial_block,2,296,97,106,16,0.699075133101758,0.7399266773087194,0.5248214905797672,0.7244456436336457,0.7100218505247176,0.027527347554188338,0.6049013700311999,0.06389105788880911,0.7768784845303279,0.04124909552131222
extensive,resnet50_semantic_colour_no_floor,spatial_block,3,331,85,83,20,0.7512997913230663,0.712706126130416,0.6308728258834829,0.7942750316379603,0.7100218505247176,0.027527347554188338,0.6049013700311999,0.06389105788880911,0.7768784845303279,0.04124909552131222
extensive,resnet50_semantic_colour_no_floor,spatial_block,4,271,123,105,30,0.7393704596034836,0.6685336731818774,0.6848076040017085,0.8275310290265305,0.7100218505247176,0.027527347554188338,0.6049013700311999,0.06389105788880911,0.7768784845303279,0.04124909552131222
extensive,resnet50_semantic_colour_no_floor,spatial_block,5,319,57,123,7,0.7538785084897136,0.7008947568612356,0.6275214440202774,0.7921625111176857,0.7100218505247176,0.027527347554188338,0.6049013700311999,0.06389105788880911,0.7768784845303279,0.04124909552131222
