dimension,config,split_scheme,fold,n_train,n_val,n_test,best_epoch,val_r2,test_r2,test_mse,test_rmse,test_r2_mean,test_r2_std,test_mse_mean,test_mse_std,test_rmse_mean,test_rmse_std
vivid,resnet50_semantic_colour_no_floor,spatial_block,1,306,71,122,9,0.646974417036856,0.6064475626473376,0.8711889962209178,0.9333750565667147,0.599251453565461,0.04717519210380352,0.81159844936849,0.09236817841855757,0.8997520758357418,0.05055506153892393
vivid,resnet50_semantic_colour_no_floor,spatial_block,2,270,149,80,23,0.6927701613621859,0.5833773890766807,0.9454433897379706,0.9723391330898755,0.599251453565461,0.04717519210380352,0.81159844936849,0.09236817841855757,0.8997520758357418,0.05055506153892393
vivid,resnet50_semantic_colour_no_floor,spatial_block,3,300,85,114,7,0.5493156243774292,0.6758963377136904,0.7523544463370941,0.8673836788509997,0.599251453565461,0.04717519210380352,0.81159844936849,0.09236817841855757,0.8997520758357418,0.05055506153892393
vivid,resnet50_semantic_colour_no_floor,spatial_block,4,329,73,97,36,0.6772205981193535,0.5508798843256517,0.753119292761651,0.867824459647025,0.599251453565461,0.04717519210380352,0.81159844936849,0.09236817841855757,0.8997520758357418,0.05055506153892393
vivid,resnet50_semantic_colour_no_floor,spatial_block,5,306,107,86,6,0.6545648639214443,0.5796560940639446,0.7358861217848165,0.8578380510240943,0.599251453565461,0.04717519210380352,0.81159844936849,0.09236817841855757,0.8997520758357418,0.05055506153892393
