dimension,test_r2_mean,test_r2_std,test_mse_mean,test_mse_std,test_rmse_mean,test_rmse_std
prefer,0.5451507053093018,0.044453149027476,0.9484862894292344,0.0762496005642232,0.9732742565819776,0.0391073986611438
monotonous,0.1714379680100836,0.1128597635225973,1.7266695076112577,0.4438977094166675,1.304507554335252,0.1765274351677258
quiet,0.1446169017501664,0.1331276401087892,1.8071703438476696,0.393982780840647,1.3378951681704,0.1466580326557648
extensive,0.5275018845609251,0.052422847253418,0.9840993362421044,0.1038900009810961,0.9909279425948186,0.0519753406302481
vivid,0.2344106949621716,0.0715672034126465,1.5694569496390836,0.3010980779545644,1.2482239767669996,0.1193411782614288
oppressive,0.3735081165844535,0.0920600118526562,1.2977794084660588,0.1996106618659356,1.1365606532519466,0.0866695588540713
