dimension,config,backend,split_scheme,fold,n_train,n_val,n_test,best_epoch,val_r2,test_r2,test_mse,test_rmse,test_r2_mean,test_r2_std,test_mse_mean,test_mse_std,test_rmse_mean,test_rmse_std
monotonous,colour_only,ridge,spatial_block,1,300,100,99,,,0.007121706461658661,2.174519152850856,1.474625088912723,0.17143796801008368,0.11285976352259731,1.7266695076112577,0.4438977094166675,1.304507554335252,0.17652743516772582
monotonous,colour_only,ridge,spatial_block,2,333,72,94,,,0.3191606341431631,1.089474462392812,1.0437789336793553,0.17143796801008368,0.11285976352259731,1.7266695076112577,0.4438977094166675,1.304507554335252,0.17652743516772582
monotonous,colour_only,ridge,spatial_block,3,295,105,99,,,0.14082129289051415,1.4538140747799042,1.2057421261529782,0.17143796801008368,0.11285976352259731,1.7266695076112577,0.4438977094166675,1.304507554335252,0.17652743516772582
monotonous,colour_only,ridge,spatial_block,4,247,117,135,,,0.18889089337282117,1.9705953510751182,1.4037789537798029,0.17143796801008368,0.11285976352259731,1.7266695076112577,0.4438977094166675,1.304507554335252,0.17652743516772582
monotonous,colour_only,ridge,spatial_block,5,310,117,72,,,0.20119531318226136,1.9449444969575975,1.3946126691514018,0.17143796801008368,0.11285976352259731,1.7266695076112577,0.4438977094166675,1.304507554335252,0.17652743516772582
