dimension,config,backend,split_scheme,fold,n_train,n_val,n_test,best_epoch,val_r2,test_r2,test_mse,test_rmse,test_r2_mean,test_r2_std,test_mse_mean,test_mse_std,test_rmse_mean,test_rmse_std
extensive,colour_only,ridge,spatial_block,1,327,90,82,,,0.5430608159302822,0.935014767231374,0.9669616162140946,0.5275018845609251,0.05242284725341808,0.9840993362421045,0.10389000098109616,0.9909279425948186,0.05197534063024819
extensive,colour_only,ridge,spatial_block,2,296,97,106,,,0.5554641459945682,0.8970622660425422,0.9471337107518358,0.5275018845609251,0.05242284725341808,0.9840993362421045,0.10389000098109616,0.9909279425948186,0.05197534063024819
extensive,colour_only,ridge,spatial_block,3,331,85,83,,,0.5918211263967476,0.8963259553359532,0.9467449262266755,0.5275018845609251,0.05242284725341808,0.9840993362421045,0.10389000098109616,0.9909279425948186,0.05197534063024819
extensive,colour_only,ridge,spatial_block,4,271,123,105,,,0.4764891321940883,1.0815705501692707,1.0399858413311551,0.5275018845609251,0.05242284725341808,0.9840993362421045,0.10389000098109616,0.9909279425948186,0.05197534063024819
extensive,colour_only,ridge,spatial_block,5,319,57,123,,,0.47067420228893886,1.1105231424313828,1.0538136184503324,0.5275018845609251,0.05242284725341808,0.9840993362421045,0.10389000098109616,0.9909279425948186,0.05197534063024819
