Image,Mu,Sigma,Score,Score_10
104108678419.jpg,44.71426022098706,2.8553830306668875,5.0,10.0
104108455579.jpg,43.93573616027944,3.1246458971077953,4.98995983935743,9.802960140778243
104108331324.jpg,43.870820425722975,3.0363576989573366,4.979919678714859,9.786530350301817
104109033778.jpg,43.47748898280754,3.0260333756727062,4.969879518072289,9.686980476314488
104108820453.jpg,43.39971443380917,3.2270861851768577,4.959839357429719,9.667296195559253
104108460439.jpg,43.27602040062369,2.9789798239062626,4.949799196787149,9.63598996352927
104108630312.jpg,43.14750153143251,2.7669939343929375,4.9397590361445785,9.603462593893765
104108884118.jpg,42.95276204611388,3.224105301355226,4.929718875502008,9.554175175933652
104108933772.jpg,42.91700028918376,3.194915318447765,4.919678714859438,9.545124085663392
104108457626.jpg,42.90637955544736,3.2301516180558885,4.909638554216867,9.54243604044312
104107445277.jpg,42.89804401136182,3.126061086924617,4.899598393574297,9.54032636327828
104108662703.jpg,42.83897796342427,3.4019065542387805,4.889558232931727,9.525377094067743
104106057649.jpg,42.66754172914602,3.5074107066674953,4.879518072289157,9.48198759183837
104108592506.jpg,42.66717696589622,3.029158919088434,4.8694779116465865,9.481895272405975
104107427714.jpg,42.59113455061272,3.2899851175866317,4.859437751004016,9.46264938450275
104109009682.jpg,42.51859654198114,3.2695319707944557,4.849397590361446,9.44429044130451
104108983415.jpg,42.442044335063876,3.316058402595687,4.839357429718875,9.424915528138202
104108879762.jpg,42.34732188102122,3.1870509349878473,4.829317269076305,9.40094183233137
104108874835.jpg,42.33757941535032,3.349659219759549,4.819277108433735,9.398476071591075
104108426319.jpg,42.257139878024404,3.1501601296906676,4.809236947791165,9.378117297969927
104108272389.jpg,42.0947161085663,3.431280091714818,4.7991967871485945,9.337008797560575
104108729176.jpg,42.060019214925624,3.4716236744867013,4.789156626506024,9.328227217923617
104108989954.jpg,41.80210778760735,3.486438628553875,4.779116465863454,9.262951353123388
104108919133.jpg,41.72527085530686,3.5279050070379627,4.769076305220883,9.243504377637802
104106769963.jpg,41.5117806369259,3.313759110787078,4.759036144578313,9.189471259461888
104108856552.jpg,41.269987657425865,3.3449723129787174,4.748995983935743,9.128274878969561
104108086956.jpg,41.1053124562729,3.756600961067757,4.738955823293173,9.086596554444816
104108711163.jpg,41.09672127712352,3.480131417112551,4.728915662650603,9.08442217754938
104108601239.jpg,41.014391534877106,3.472523828275613,4.718875502008032,9.06358500418411
104108788928.jpg,40.95688434036743,3.469005845729358,4.708835341365462,9.049030271604458
104107086323.jpg,40.83265031944608,3.4024292199442017,4.698795180722891,9.017587371855612
104108929764.jpg,40.72029013531796,3.462946332162013,4.688755020080321,8.98914967033793
104108950576.jpg,40.47066038499929,3.6306656683152663,4.678714859437751,8.925969849260024
104107001320.jpg,40.46147597607622,3.6124690628209053,4.668674698795181,8.92364532939921
104107540001.jpg,40.44322127276093,3.567178455745499,4.658634538152611,8.919025171393931
104108854371.jpg,40.41269771479967,2.8582297563869177,4.64859437751004,8.911299838463094
104107185014.jpg,40.38055810730081,3.6296344711972455,4.63855421686747,8.903165492902518
104108972455.jpg,40.37115677629043,3.5974559598184013,4.628514056224899,8.900786071337695
104108745648.jpg,40.312209052237485,3.7755826213055594,4.618473895582329,8.885866749206174
104109017528.jpg,40.02149477967727,3.432365618649159,4.608433734939759,8.812288677274841
104106709500.jpg,40.00660158862214,3.5915342903174574,4.598393574297189,8.808519298244732
104108531872.jpg,39.87651556068172,3.895460849590619,4.588353413654619,8.77559528995037
104108896286.jpg,39.7780967949903,3.686342306042195,4.578313253012048,8.750686079412946
104109038191.jpg,39.70725789355262,3.0314442181041583,4.568273092369478,8.732757170248576
104108465606.jpg,39.671213596707865,2.8313688234500947,4.5582329317269075,8.723634570788281
104108595636.jpg,39.589553092616036,3.765686541209182,4.548192771084337,8.702966777662391
104108979815.jpg,39.51804615139402,3.605960929303182,4.538152610441767,8.6848687915591
104108876134.jpg,39.501893751809774,2.763566564621502,4.528112449799197,8.680780714258985
104107181532.jpg,39.316345325385505,3.4947356917026853,4.518072289156627,8.633819499228293
104108341967.jpg,39.31017937044144,3.4942301022709494,4.508032128514056,8.632258932310116
104108037471.jpg,39.30386955784685,2.7939379646350164,4.497991967871486,8.630661955866994
104108799848.jpg,39.29376659493756,4.160204325168263,4.4879518072289155,8.628104955396694
104108006544.jpg,39.22900915715354,3.6331485592494577,4.477911646586345,8.611715228902014
104108307753.jpg,39.224717939921426,3.4638461800371645,4.467871485943775,8.610629147068478
104108313767.jpg,39.17735177796877,2.5952354295037465,4.457831325301205,8.598641050162977
104108695903.jpg,39.032957791492635,3.861472785968325,4.447791164658635,8.562095781745883
104109081519.jpg,38.97021419385626,3.520858861824651,4.437751004016064,8.546215746343893
104108642604.jpg,38.758406406764124,2.7829340245209035,4.427710843373494,8.492608441628388
104108544266.jpg,38.7291883543543,2.6507837707321404,4.417670682730924,8.485213524471515
104107455173.jpg,38.56453305101532,3.364307380026287,4.407630522088353,8.443540235966417
104106750365.jpg,38.367913320980286,4.170624594910027,4.397590361445783,8.393776939131236
104108004071.jpg,38.29186712533413,3.5787668895757982,4.387550200803213,8.374530094440464
104108745885.jpg,38.25463836257481,2.7950739673417133,4.377510040160643,8.365107713626147
104107252612.jpg,38.13389623214228,3.9382882560052956,4.367469879518072,8.334548590815047
104108259525.jpg,37.79337321101802,3.0966514845217343,4.357429718875502,8.24836421767813
104108789981.jpg,37.73911750117362,4.330754842106182,4.347389558232932,8.234632416736742
104108690599.jpg,37.70621744689253,4.468106008047334,4.337349397590361,8.22630560656977
104106802049.jpg,37.66486659200429,4.364206677959338,4.327309236947791,8.215839948490466
104108142104.jpg,37.65191980220861,4.2804222253766335,4.317269076305221,8.212563192167229
104108829152.jpg,37.49102942683767,3.488458375222961,4.307228915662651,8.171842784779422
104109010635.jpg,36.847711064925335,2.7593035243465134,4.2971887550200805,8.00902269242317
