ID,Hexagon_ID,Complex_ID,Extensive,Monotonous,Oppressive,Prefer,Quiet,Vivid,Floor,Lon,Lat,LCZ_Catego,LC_Water,LC_Trees,LC_Crops,LC_Built_Area,LC_Bare_Ground,LC_Rangeland,WV_Sky,WV_Highrisebuilding,WV_Lowrisebuilding,WV_Grass,WV_Hardground,WV_Tree,WV_Water,WV_Railing,WV_Road,WV_Barrenland,WV_Buildinginterior,BD,FAR,BH,BH_SD,NDBI,NDVI
104108417641,245,245-3,3.429187536239624,2.2643909454345703,1.844983696937561,4.152242183685303,2.5986011028289795,2.4130208492279053,3.0,114.406442518999,30.4021367546,4,0.024738587095129,0.0,0.0,0.969268043866361,0.0,0.005993369038511,0.426939123,0.115854302,0.021540179,0.000886769,0.01493263,0.085745536,0.008201705,0.116244318,0.004693182,0.000109172,0.204845373,0.113224731,0.59040078338,13.4384562383,5.84309535427,-0.11080402288,0.37844020452
104110497735,52,52-5,4.261642456054688,1.8265295028686523,0.8992294669151306,4.291160583496094,2.13987135887146,1.356014609336853,3.0,114.275652485999,30.6536040820999,8,0.165263963274675,0.0,0.0,0.829125223157358,0.0,0.005610813567967,0.374167614,0.111246347,0.04679789,0.010043831,0.032553977,0.057772321,0.0,0.112038961,0.004346591,0.00025,0.250782468,0.140363209,1.60447783403,25.073503426,19.9763176067,-0.17219201286,0.41847058706
104110997974,245,245-3,4.239884376525879,2.0451135635375977,1.7096548080444336,4.410845756530762,1.108863353729248,2.41320538520813,3.0,114.406442518999,30.4021367546,4,0.024738587095129,0.0,0.0,0.969268043866361,0.0,0.005993369038511,0.364205357,0.093829951,0.098828734,0.000950893,0.018974838,0.104676948,0.00699513,0.111887175,0.001925325,0.0,0.197725649,0.113224731,0.59040078338,13.4384562383,5.84309535427,-0.11080402288,0.37844020452
104110901505,99,99-9,4.0795207023620605,3.674477815628052,0.6491372585296631,4.673079013824463,0.5125098824501038,1.4371222257614136,3.0,114.189996253999,30.5935967001999,5,0.0,0.0,0.0,1.0,0.0,0.0,0.358137987,0.049966721,0.021211039,0.0023125,0.017884334,0.05199513,0.001124594,0.16420414,0.005183847,0.019647321,0.30830763,0.254378312,1.33577862766,14.4839019339,5.06655470527,-0.05889660767,0.37281972399
104113119474,196,196-4,4.767263889312744,0.4697618186473846,0.3598731160163879,4.865233898162842,2.1607825756073,3.502194166183472,3.0,114.129392519999,30.4714537069,4,0.0,0.0,0.0,0.979984701682815,0.0,0.020015298317185,0.355746753,0.024789773,0.131895292,0.003509334,0.026684253,0.045681412,0.003311688,0.160378653,0.007484578,1.75e-05,0.240500812,0.265999082,1.12785920672,11.9087354594,4.38508851724,0.00156850124,0.3156186086
104110469977,92,92-1,4.2240986824035645,1.9158871173858645,0.5107569098472595,4.508752346038818,1.0108294486999512,1.8423991203308103,3.0,114.291319998999,30.6019655463,4,0.0,0.0,0.0,1.0,0.0,0.0,0.352549107,0.077975649,0.020551542,0.000530844,0.004433847,0.009618912,0.0,0.149439123,0.044934253,0.005804383,0.334162338,0.216064938,1.96235538869,23.7729141904,10.6877012888,-0.03897836475,0.33524151356
104111883231,245,245-3,4.009626388549805,1.490304708480835,2.031536340713501,4.040385723114014,1.521556377410889,2.281068563461304,2.0,114.406442518999,30.4021367546,4,0.024738587095129,0.0,0.0,0.969268043866361,0.0,0.005993369038511,0.347542614,0.092217938,0.099326299,0.000928571,0.016491071,0.112759334,0.003816558,0.117299107,0.000397321,0.000248782,0.208972403,0.113224731,0.59040078338,13.4384562383,5.84309535427,-0.11080402288,0.37844020452
104112628182,245,245-3,4.070788383483887,1.7486364841461182,2.226980686187744,4.199558734893799,1.381619930267334,2.417383909225464,2.0,114.406442518999,30.4021367546,4,0.024738587095129,0.0,0.0,0.969268043866361,0.0,0.005993369038511,0.347301542,0.117325893,0.093831575,0.016701299,0.028496753,0.085586039,0.000778815,0.135510958,0.000509334,0.0,0.173952516,0.113224731,0.59040078338,13.4384562383,5.84309535427,-0.11080402288,0.37844020452
104109894176,52,52-5,4.42225456237793,1.670929193496704,0.7151703238487244,4.178607940673828,1.6339499950408936,1.521106481552124,3.0,114.275652485999,30.6536040820999,8,0.165263963274675,0.0,0.0,0.829125223157358,0.0,0.005610813567967,0.335425731,0.078524756,0.038275162,0.005463068,0.015821429,0.03867289,0.019921672,0.100666396,0.008418019,0.001184253,0.357622565,0.140363209,1.60447783403,25.073503426,19.9763176067,-0.17219201286,0.41847058706
104103376103,178,178-2,4.589754104614258,1.0391831398010254,-0.0349412821233272,5.424980640411377,3.202806234359741,1.947589993476868,2.0,114.142104802999,30.4996807371,14,0.045315292315548,0.0,0.0,0.954684707684452,0.0,0.0,0.33432224,0.025523133,0.037092938,0.008128247,0.013012175,0.120533685,2.44e-06,0.09757224,0.059159903,0.0,0.304653003,0.166622654,0.70519065012,11.1584528615,4.192225855,-0.14372263284,0.45204785023
104112784406,106,106-1,4.566951751708984,1.911313533782959,0.6510996222496033,4.557491302490234,2.1745598316192627,4.062459468841553,3.0,114.096302011999,30.5905771981999,14,0.033239938869078,0.0,0.265664798777382,0.70109526235354,0.0,0.0,0.332623782,0.010345373,0.006260146,0.011293831,0.005201705,0.112922078,0.000730519,0.121824675,0.005359984,0.028809253,0.364625812,0.087876027,0.30910856664,5.72893168901,2.03796559291,-0.10264005964,0.43677165425
104109115909,124,124-1,3.935603380203247,2.198781967163086,1.424867868423462,4.132386684417725,1.9389090538024905,3.098881721496582,3.0,114.494504683,30.5662756382,4,0.103619678817232,0.262809074687739,0.00012745347948,0.436145806780525,0.0,0.197297986235024,0.322977679,0.071484984,0.001941153,0.017314935,0.016150974,0.062239854,0.0,0.131434659,0.005929383,0.0,0.37052638,0.011659916,0.05932688815,3.42139940084,1.02939333621,-0.19679693325,0.60953081308
104109993228,42,42-6,4.175967216491699,3.3311209678649902,0.7928878664970398,4.239015102386475,1.2512624263763428,2.4507131576538086,3.0,114.225202541,30.6604918409,4,0.020142784293728,0.0,0.0,0.979857215706272,0.0,0.0,0.319852273,0.054875406,0.044871753,0.002368912,0.008600649,0.022454951,0.001464286,0.131497971,0.011825081,0.048043831,0.354122971,0.107158622,0.90501131433,15.3946884304,9.76288132656,-0.14249646375,0.47202780338
104107125024,185,185-4,4.736197471618652,2.8780934810638428,1.2507978677749634,4.576305389404297,2.0603418350219727,1.3825756311416626,3.0,114.509297775999,30.4887489483,4,0.0,0.0,0.0,0.991205709915881,0.0,0.008794290084119,0.31934375,0.084299919,0.010087662,0.002809253,0.031753247,0.050320211,0.0,0.116472808,0.017769886,0.005772727,0.361370536,0.056431819,0.42861564045,14.4032754231,5.46099000702,-0.06907508746,0.32093512794
104111099117,102,102-1,4.410459518432617,0.9897943139076232,0.5389886498451233,4.598741054534912,2.562387704849243,1.96378231048584,2.0,114.399463283,30.5986812649,14,0.201351695995919,0.000892629431268,0.027033919918388,0.682606477939301,0.0,0.088115276715124,0.316431412,0.049986607,0.046320617,0.000818588,0.029749594,0.144893263,0.026246753,0.106612419,0.006505682,3.65e-05,0.272383117,0.054129291,0.30210653326,6.30516055746,3.4430585102,-0.17525441147,0.38150386934
104107040114,121,121-10,3.8165500164031982,2.204017639160156,1.81308114528656,3.579984426498413,0.9172786474227904,0.7750229239463806,3.0,114.327348624999,30.5572080943,10,0.000509619059753,0.0,0.0,0.999490380940247,0.0,0.0,0.312927354,0.174288555,0.013428166,0.000439123,0.009555195,0.007846997,0.0,0.051318588,0.000450893,0.010114854,0.419630276,0.160207763,1.31046035625,19.2728160059,7.82620806407,-0.05520664058,0.32037352398
104108629279,120,120-3,3.36327862739563,2.1814165115356445,3.789739847183228,2.9267852306365967,2.800959348678589,0.7172031402587891,3.0,114.345341677999,30.5774406518,14,0.093981127263453,0.016322366743178,0.0,0.862917623055343,0.0,0.026651364447845,0.307948864,0.069250812,0.014097403,0.003252029,0.013498377,0.063412338,0.003090503,0.078161932,0.006784903,0.002838068,0.437664773,0.127447925,1.07105559816,17.9695311393,9.85820311076,-0.14499971623,0.44677402316
104110811000,113,113-2,3.014009714126587,3.8474721908569336,2.1696653366088867,3.7363648414611816,1.0347203016281128,1.0400127172470093,3.0,114.227631098,30.5846375174,14,0.0,0.0,0.0,1.0,0.0,0.0,0.303273539,0.145205357,0.018776786,0.004943588,0.004991883,0.024760146,0.000132711,0.072469968,0.001405844,2.84e-06,0.424037338,0.215457771,1.13942043102,15.0522923426,5.37040869117,-0.05013916303,0.34256353768
104108225562,151,151-2,4.537181377410889,2.427293300628662,0.7707476019859314,5.312065601348877,0.6629819869995117,1.586525559425354,2.0,114.264085432,30.5340182923999,4,0.263479923518164,0.005353728489484,0.0,0.731166347992352,0.0,0.0,0.303067776,0.052429789,0.018189123,0.01370901,0.021583198,0.087081169,0.028139205,0.081282873,0.077007711,0.003137987,0.314366477,0.088472138,0.49570862327,9.50716916718,3.9178928863,-0.22404825738,0.08849378181
