ID,Prefer,Monotonous,Quiet,Extensive,Vivid,Oppressive,Hexagon_ID,Complex_ID,Floor,Lon,Lat,LCZ_Catego,LC_Water,LC_Trees,LC_Crops,LC_Built_Area,LC_Bare_Ground,LC_Rangeland,WV_Sky,WV_Highrisebuilding,WV_Lowrisebuilding,WV_Grass,WV_Hardground,WV_Tree,WV_Water,WV_Railing,WV_Road,WV_Barrenland,WV_Buildinginterior,BD,FAR,BH,BH_SD,NDBI,NDVI
104108417641,4.8940366998102975,2.589948330456514,3.0043298868933577,3.8998996517384175,2.9045680918035837,2.2851601886964406,245,245-3,3.0,114.406442518999,30.4021367546,4,0.024738587095129,0.0,0.0,0.969268043866361,0.0,0.005993369038511,0.426939123,0.115854302,0.021540179,0.000886769,0.01493263,0.085745536,0.008201705,0.116244318,0.004693182,0.000109172,0.204845373,0.113224731,0.59040078338,13.4384562383,5.84309535427,-0.11080402288,0.37844020452
104110497735,5.0,2.0417614543548637,2.386567464207907,4.846622634242529,1.6168911805248103,1.1137677702561954,52,52-5,3.0,114.275652485999,30.6536040820999,8,0.165263963274675,0.0,0.0,0.829125223157358,0.0,0.005610813567967,0.374167614,0.111246347,0.04679789,0.010043831,0.032553977,0.057772321,0.0,0.112038961,0.004346591,0.00025,0.250782468,0.140363209,1.60447783403,25.073503426,19.9763176067,-0.17219201286,0.41847058706
104110997974,5.0,2.315420885707246,0.9981290395050016,4.821877902179857,2.904792899105629,2.1175445128547454,245,245-3,3.0,114.406442518999,30.4021367546,4,0.024738587095129,0.0,0.0,0.969268043866361,0.0,0.005993369038511,0.364205357,0.093829951,0.098828734,0.000950893,0.018974838,0.104676948,0.00699513,0.111887175,0.001925325,0.0,0.197725649,0.113224731,0.59040078338,13.4384562383,5.84309535427,-0.11080402288,0.37844020452
104110901505,5.0,4.35532669278388,0.19503142037961518,4.639501689034987,1.7156989274019965,0.8040085246572976,99,99-9,3.0,114.189996253999,30.5935967001999,5,0.0,0.0,0.0,1.0,0.0,0.0,0.358137987,0.049966721,0.021211039,0.0023125,0.017884334,0.05199513,0.001124594,0.16420414,0.005183847,0.019647321,0.30830763,0.254378312,1.33577862766,14.4839019339,5.06655470527,-0.05889660767,0.37281972399
104113119474,5.0,0.34313680713679506,2.4147281930078024,5.0,4.231431907450651,0.44573169891300995,196,196-4,3.0,114.129392519999,30.4714537069,4,0.0,0.0,0.0,0.979984701682815,0.0,0.020015298317185,0.355746753,0.024789773,0.131895292,0.003509334,0.026684253,0.045681412,0.003311688,0.160378653,0.007484578,1.75e-05,0.240500812,0.265999082,1.12785920672,11.9087354594,4.38508851724,0.00156850124,0.3156186086
104110469977,5.0,2.1536339939213307,0.8661086866197917,4.8039253631718655,2.2094194752254075,0.6326133712844803,92,92-1,3.0,114.291319998999,30.6019655463,4,0.0,0.0,0.0,1.0,0.0,0.0,0.352549107,0.077975649,0.020551542,0.000530844,0.004433847,0.009618912,0.0,0.149439123,0.044934253,0.005804383,0.334162338,0.216064938,1.96235538869,23.7729141904,10.6877012888,-0.03897836475,0.33524151356
104111883231,4.762197178190462,1.6208200290873724,1.553894706530429,4.560013236678772,2.7438198337898707,2.516220590672054,245,245-3,2.0,114.406442518999,30.4021367546,4,0.024738587095129,0.0,0.0,0.969268043866361,0.0,0.005993369038511,0.347542614,0.092217938,0.099326299,0.000928571,0.016491071,0.112759334,0.003816558,0.117299107,0.000397321,0.000248782,0.208972403,0.113224731,0.59040078338,13.4384562383,5.84309535427,-0.11080402288,0.37844020452
104112628182,4.949806312438553,1.9442421789571331,1.3654450152947928,4.629570716467298,2.9098833032085407,2.7582940778930576,245,245-3,2.0,114.406442518999,30.4021367546,4,0.024738587095129,0.0,0.0,0.969268043866361,0.0,0.005993369038511,0.347301542,0.117325893,0.093831575,0.016701299,0.028496753,0.085586039,0.000778815,0.135510958,0.000509334,0.0,0.173952516,0.113224731,0.59040078338,13.4384562383,5.84309535427,-0.11080402288,0.37844020452
104109894176,4.925112676743223,1.8469554284686784,1.7052530050407682,5.0,1.8180110831975718,0.8857957687696324,52,52-5,3.0,114.275652485999,30.6536040820999,8,0.165263963274675,0.0,0.0,0.829125223157358,0.0,0.005610813567967,0.335425731,0.078524756,0.038275162,0.005463068,0.015821429,0.03867289,0.019921672,0.100666396,0.008418019,0.001184253,0.357622565,0.140363209,1.60447783403,25.073503426,19.9763176067,-0.17219201286,0.41847058706
104103376103,5.0,1.0560319490329584,3.8180011841441184,5.0,2.3375661724874726,0.0,178,178-2,2.0,114.142104802999,30.4996807371,14,0.045315292315548,0.0,0.0,0.954684707684452,0.0,0.0,0.33432224,0.025523133,0.037092938,0.008128247,0.013012175,0.120533685,2.44e-06,0.09757224,0.059159903,0.0,0.304653003,0.166622654,0.70519065012,11.1584528615,4.192225855,-0.14372263284,0.45204785023
