img_id,Extensive,Monotonous,Oppressive,Prefer,Quiet,Vivid,Floor,Lon,Lat,LCZ_Catego,LC_Water,LC_Trees,LC_Crops,LC_Built_Area,LC_Bare_Ground,LC_Rangeland,WV_Sky,WV_Highrisebuilding,WV_Lowrisebuilding,WV_Grass,WV_Hardground,WV_Tree,WV_Water,WV_Railing,WV_Road,WV_Barrenland,WV_Buildinginterior,BD,FAR,BH,BH_SD,NDBI,NDVI
104108417641.000000000000000,8.077807426000000,7.571613789000000,5.023207664000000,7.367890835000000,2.969488859000000,8.260115623000000,3.000000000000000,114.406442518999000,30.402136754600000,4,0.024738587095129,0.000000000000000,0.000000000000000,0.969268043866361,0.000000000000000,0.005993369038511,0.426939123,0.115854302,0.021540179,0.000886769,0.01493263,0.085745536,0.008201705,0.116244318,0.004693182,0.000109172,0.204845373,0.113224731,0.59040078338,13.43845623830,5.84309535427,-0.11080402288,0.37844020452
104110497735.000000000000000,8.629443169000000,4.341936111000000,2.006380558000000,8.834689140000000,3.451348782000000,8.692841530000000,3.000000000000000,114.275652485999000,30.653604082099900,8,0.165263963274675,0.000000000000000,0.000000000000000,0.829125223157358,0.000000000000000,0.005610813567967,0.374167614,0.111246347,0.04679789,0.010043831,0.032553977,0.057772321,0,0.112038961,0.004346591,0.00025,0.250782468,0.140363209,1.60447783403,25.07350342600,19.97631760670,-0.17219201286,0.41847058706
104110997974.000000000000000,7.861527443000000,5.818599701000000,4.676044464000000,8.605536461000000,3.118412495000000,9.891976357000000,3.000000000000000,114.406442518999000,30.402136754600000,4,0.024738587095129,0.000000000000000,0.000000000000000,0.969268043866361,0.000000000000000,0.005993369038511,0.364205357,0.093829951,0.098828734,0.000950893,0.018974838,0.104676948,0.00699513,0.111887175,0.001925325,0,0.197725649,0.113224731,0.59040078338,13.43845623830,5.84309535427,-0.11080402288,0.37844020452
104110901505.000000000000000,9.166690826000000,5.608837605000000,2.492095947000000,7.394601822000000,3.402948380000000,4.504740238000000,3.000000000000000,114.189996253999000,30.593596700199900,5,0.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.358137987,0.049966721,0.021211039,0.0023125,0.017884334,0.05199513,0.001124594,0.16420414,0.005183847,0.019647321,0.30830763,0.254378312,1.33577862766,14.48390193390,5.06655470527,-0.05889660767,0.37281972399
104113119474.000000000000000,9.322492599000000,2.933147430000000,1.828927040000000,9.728551865000000,5.683818817000000,7.322028160000000,3.000000000000000,114.129392519999000,30.471453706900000,4,0.000000000000000,0.000000000000000,0.000000000000000,0.979984701682815,0.000000000000000,0.020015298317185,0.355746753,0.024789773,0.131895292,0.003509334,0.026684253,0.045681412,0.003311688,0.160378653,0.007484578,1.75E-05,0.240500812,0.265999082,1.12785920672,11.90873545940,4.38508851724,0.00156850124,0.31561860860
104110469977.000000000000000,8.311144829000000,5.161798954000000,3.373196125000000,8.204212189000000,3.417465210000000,4.953744888000000,3.000000000000000,114.291319998999000,30.601965546300000,4,0.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.352549107,0.077975649,0.020551542,0.000530844,0.004433847,0.009618912,0,0.149439123,0.044934253,0.005804383,0.334162338,0.216064938,1.96235538869,23.77291419040,10.68770128880,-0.03897836475,0.33524151356
104111883231.000000000000000,8.140907287999990,5.832674026000000,4.034455776000000,7.692888737000000,4.229625225000000,7.959048748000000,2.000000000000000,114.406442518999000,30.402136754600000,4,0.024738587095129,0.000000000000000,0.000000000000000,0.969268043866361,0.000000000000000,0.005993369038511,0.347542614,0.092217938,0.099326299,0.000928571,0.016491071,0.112759334,0.003816558,0.117299107,0.000397321,0.000248782,0.208972403,0.113224731,0.59040078338,13.43845623830,5.84309535427,-0.11080402288,0.37844020452
104112628182.000000000000000,8.109452248000000,5.354213238000000,6.722686291000000,7.913355827000000,3.457975864000000,6.525386810000000,2.000000000000000,114.406442518999000,30.402136754600000,4,0.024738587095129,0.000000000000000,0.000000000000000,0.969268043866361,0.000000000000000,0.005993369038511,0.347301542,0.117325893,0.093831575,0.016701299,0.028496753,0.085586039,0.000778815,0.135510958,0.000509334,0,0.173952516,0.113224731,0.59040078338,13.43845623830,5.84309535427,-0.11080402288,0.37844020452
104109894176.000000000000000,7.916199684000000,3.616778851000000,2.184767008000000,8.915609359999990,3.691918373000000,5.622425556000000,3.000000000000000,114.275652485999000,30.653604082099900,8,0.165263963274675,0.000000000000000,0.000000000000000,0.829125223157358,0.000000000000000,0.005610813567967,0.335425731,0.078524756,0.038275162,0.005463068,0.015821429,0.03867289,0.019921672,0.100666396,0.008418019,0.001184253,0.357622565,0.140363209,1.60447783403,25.07350342600,19.97631760670,-0.17219201286,0.41847058706
104103376103.000000000000000,8.747052193000000,3.253864527000000,1.746348500000000,8.849734306000000,5.014568806000000,7.130527496000000,2.000000000000000,114.142104802999000,30.499680737100000,14,0.045315292315548,0.000000000000000,0.000000000000000,0.954684707684452,0.000000000000000,0.000000000000000,0.33432224,0.025523133,0.037092938,0.008128247,0.013012175,0.120533685,2.44E-06,0.09757224,0.059159903,0,0.304653003,0.166622654,0.70519065012,11.15845286150,4.19222585500,-0.14372263284,0.45204785023
104112784406.000000000000000,9.084132195000000,5.437891483000000,2.373980522000000,8.612658501000000,3.331984043000000,4.949337959000000,3.000000000000000,114.096302011999000,30.590577198199900,14,0.033239938869078,0.000000000000000,0.265664798777382,0.701095262353540,0.000000000000000,0.000000000000000,0.332623782,0.010345373,0.006260146,0.011293831,0.005201705,0.112922078,0.000730519,0.121824675,0.005359984,0.028809253,0.364625812,0.087876027,0.30910856664,5.72893168901,2.03796559291,-0.10264005964,0.43677165425
