dimension,test_r2_mean,test_r2_std,test_mse_mean,test_mse_std,test_rmse_mean,test_rmse_std
prefer,0.7447625005138587,0.0213746574194739,0.5319823148226102,0.0238974593873992,0.7292229341012756,0.0164403164255112
monotonous,0.4622914882064227,0.0755591008287269,1.108188718884476,0.2487499873825687,1.0474662842092737,0.1172769283005705
quiet,0.4661086373173318,0.0761948474712228,1.1196556862872722,0.1689933169497693,1.0556372932300482,0.0812833887489463
extensive,0.6492929855569377,0.0316202372617461,0.7307144852858873,0.06415250164029,0.8541673863841928,0.0372921124952143
vivid,0.5595092239694534,0.1076659192517427,0.8859822623335504,0.1616472150719169,0.9379572573316352,0.0881649430929529
oppressive,0.6406236505939283,0.040345523026178,0.7444443622079701,0.0861235864134571,0.8616481192214221,0.0500859367756527
