dimension,config,split_scheme,fold,n_train,n_val,n_test,best_epoch,val_r2,test_r2,test_mse,test_rmse,test_r2_mean,test_r2_std,test_mse_mean,test_mse_std,test_rmse_mean,test_rmse_std
vivid,resnet50_colour,spatial_block,1,306,71,122,7,0.6063098313822608,0.5469707749103392,1.0028500357397974,1.0014240039762365,0.5595092239694534,0.10766591925174279,0.8859822623335504,0.16164721507191696,0.9379572573316353,0.0881649430929529
vivid,resnet50_colour,spatial_block,2,270,149,80,16,0.6788346780942249,0.5742508801991948,0.9661542135467922,0.9829314388841127,0.5595092239694534,0.10766591925174279,0.8859822623335504,0.16164721507191696,0.9379572573316353,0.0881649430929529
vivid,resnet50_colour,spatial_block,3,300,85,114,10,0.5832262723434893,0.6689725321396429,0.7684269457110953,0.8765996496183963,0.5595092239694534,0.10766591925174279,0.8859822623335504,0.16164721507191696,0.9379572573316353,0.0881649430929529
vivid,resnet50_colour,spatial_block,4,329,73,97,7,0.6694362008940318,0.38582786410739967,1.0298912662213808,1.0148355858075637,0.5595092239694534,0.10766591925174279,0.8859822623335504,0.16164721507191696,0.9379572573316353,0.0881649430929529
vivid,resnet50_colour,spatial_block,5,306,107,86,19,0.6543257405294094,0.6215240684906906,0.6625888504486859,0.813995608371867,0.5595092239694534,0.10766591925174279,0.8859822623335504,0.16164721507191696,0.9379572573316353,0.0881649430929529
