dimension,config,split_scheme,fold,n_train,n_val,n_test,best_epoch,val_r2,test_r2,test_mse,test_rmse,test_r2_mean,test_r2_std,test_mse_mean,test_mse_std,test_rmse_mean,test_rmse_std
prefer,resnet50_colour,spatial_block,1,308,97,94,19,0.7568025354915392,0.7318248503985605,0.5620533760560551,0.7497021915774658,0.7447625005138587,0.0213746574194739,0.5319823148226102,0.02389745938739924,0.7292229341012756,0.01644031642551121
prefer,resnet50_colour,spatial_block,2,306,97,96,8,0.6910225145609622,0.7694383762665364,0.4970596763131507,0.7050245927009573,0.7447625005138587,0.0213746574194739,0.5319823148226102,0.02389745938739924,0.7292229341012756,0.01644031642551121
prefer,resnet50_colour,spatial_block,3,294,64,141,28,0.7248156761430637,0.7428197014982447,0.5246608645886444,0.7243347738364108,0.7447625005138587,0.0213746574194739,0.5319823148226102,0.02389745938739924,0.7292229341012756,0.01644031642551121
prefer,resnet50_colour,spatial_block,4,310,106,83,5,0.6934837723850019,0.762219569970493,0.5340191419468961,0.7307661335522441,0.7447625005138587,0.0213746574194739,0.5319823148226102,0.02389745938739924,0.7292229341012756,0.01644031642551121
prefer,resnet50_colour,spatial_block,5,308,106,85,16,0.8165372780739288,0.717510004435459,0.5421185152083041,0.7362869788393002,0.7447625005138587,0.0213746574194739,0.5319823148226102,0.02389745938739924,0.7292229341012756,0.01644031642551121
