ID,extensive,Sky,High rise building,Low rise building,Grass,Hard ground,Tree,Water,Railing,Road,Barren land,Building interior,Floor,Hue_Mean,Hue_Std,Saturation_Mean,Saturation_Std,Brightness_Mean,Brightness_Std,EdgePixelRatio,Entropy,Colorfulness,Contrast,Sharpness,Image_Variance
104104481434,2.178714859437751,0.0906,0.0432,0.0005,0.095,0.0172,0.0179,0.0,0.0284,0.0,0.0,0.7072,1,19.97001201923077,33.481925947353844,18.613040865384615,43.687020858308614,104.24732572115384,113.99343579042156,14.688551682692308,4.287160681342568,18.788781324664836,112.21572297500585,1389.5036681189904,12592.368482803253
104105588631,4.608433734939759,0.1422,0.1169,0.0257,0.0,0.0143,0.0359,0.0,0.1679,0.0031,0.0,0.4939,3,67.01965144230769,53.1251864102942,43.09239783653846,76.65132697992928,100.40991586538462,98.36295436341209,38.59480168269231,5.123425516513082,7.640045915253103,96.73121348459262,2296.542066119493,9356.927662201831
104105683403,2.208835341365462,0.1007,0.1304,0.0106,0.0048,0.0187,0.0419,0.0,0.1101,0.0,0.0,0.5828,2,39.927794471153845,52.022512546031344,24.21607572115385,56.89487163403993,89.09666466346154,94.22249969094509,46.93134014423077,5.248435672817058,11.105825672723553,92.08263726863426,3591.361027621658,8479.21208634687
104105980871,4.267068273092369,0.0936,0.0,0.004,0.001,0.0029,0.0266,0.0006,0.0518,0.0062,0.0,0.8133,3,45.16334134615385,49.91963074329521,43.762650240384616,75.51357815654792,75.09984975961538,99.9905138528368,28.434645432692307,5.022904031659402,20.467077294511412,97.54229956855364,3519.3962673354295,9514.50020512146
104106057649,3.2931726907630523,0.1024,0.0406,0.0012,0.0,0.0266,0.1319,0.0,0.1144,0.0,0.0,0.583,1,71.80757211538462,42.76925444002241,56.522025240384615,62.94030860729151,121.5408653846154,89.970407531936,48.87755408653846,5.387450344160523,24.616959467270696,87.84284000888701,2796.9826192099663,7716.364540826921
104106690875,4.738955823293173,0.1768,0.0719,0.0241,0.0015,0.0053,0.0237,0.0075,0.0441,0.0,0.0001,0.6449,2,57.31493389423077,47.44380284527275,53.64705528846154,75.2719189884493,119.46688701923075,96.33621568033188,32.970703125,5.02492899683812,20.25222156852142,93.48958517929036,2531.8806489806766,8740.30253699579
104106709500,0.7429718875502008,0.0177,0.0625,0.0002,0.0303,0.0049,0.0895,0.0,0.0886,0.0004,0.0,0.7058,1,53.84690504807692,46.36118618814918,46.947085336538464,70.84270602477994,82.37806490384615,77.4444041412539,53.13777043269231,5.290661979924866,16.949018642227315,73.81505071492512,2596.3086075741016,5448.661712046968
104106715634,4.748995983935743,0.216,0.0139,0.0039,0.0163,0.006,0.0448,0.0651,0.0935,0.0032,0.001,0.5362,3,77.90252403846154,55.00724487575739,31.33446514423077,57.4317733994666,132.326953125,99.9857371774278,24.657151442307693,5.081056766810659,10.82716359650537,98.35617015557162,1950.0403724661376,9673.936207671755
104106715943,0.9939759036144579,0.0247,0.04,0.0,0.0155,0.0002,0.2164,0.0,0.1381,0.0,0.0,0.5651,1,30.76856971153846,41.28759487427612,70.60171274038461,85.59372212667944,60.53897235576923,68.44338081794398,50.50961538461539,5.0811136617323305,15.952405914797849,64.81015720297458,2886.0251897642593,4200.3564766742775
104106729605,3.0220883534136544,0.123,0.1094,0.0015,0.0035,0.0038,0.0543,0.0057,0.0401,0.0017,0.0,0.657,2,77.08004807692308,52.173905055570536,44.50357572115384,64.712995155702,111.4561298076923,88.7155258662944,37.22325721153846,5.203186185667284,18.353098321014272,86.51313676795928,1965.985365791095,7484.522833431628
104106734438,3.8152610441767068,0.193,0.1231,0.0204,0.0033,0.0074,0.0177,0.0,0.1098,0.0106,0.0028,0.5118,2,57.50486778846154,56.6010618687496,40.00760216346154,70.31594715410057,112.61003605769233,100.63429768439482,43.41436298076923,5.143334237560247,11.7603625411086,99.28950750702175,4455.413089025374,9858.406300986928
104106746366,3.7951807228915664,0.0881,0.0666,0.0008,0.0027,0.0045,0.0399,0.0001,0.0726,0.0014,0.0,0.7234,2,74.02578125,48.46612859910353,49.33016826923077,71.70040753605986,100.37025240384617,94.51035469157164,43.78981370192308,5.288831316998188,14.838033129649682,92.42434708392923,3608.5026995226626,8542.25993389062
104106750365,0.12048192771084337,0.0322,0.0536,0.0031,0.0086,0.0001,0.1711,0.0,0.039,0.0,0.0,0.6923,1,52.02701322115384,43.48823293374134,51.044381009615385,67.87751922148101,65.3889423076923,70.348094736218,41.02373798076923,5.174143580147451,15.619335963893263,67.13574482087031,1528.1807237216567,4507.208232653014
104106756808,2.9116465863453813,0.1837,0.101,0.0262,0.0048,0.0086,0.0161,0.0,0.1177,0.0052,0.0005,0.5361,2,69.76000600961538,51.77898730839235,41.22647235576923,69.28324191687668,117.55459735576925,100.4851672339385,44.02734375,5.10138962375696,13.855611839128017,99.05266915659368,4654.927942801029,9811.431267045602
104106769963,0.08032128514056225,0.0497,0.0773,0.003,0.0015,0.0,0.1706,0.0,0.0326,0.0,0.0,0.6653,1,39.89894831730769,41.67489544020064,47.04113581730769,70.90076028539086,90.29350961538462,87.05034342037759,36.357421875,5.145520897028756,15.175026737645466,84.48806420801824,2353.779972490841,7138.232993618214
104106802049,1.4859437751004017,0.0787,0.2021,0.0087,0.0049,0.0073,0.1262,0.0055,0.1138,0.0006,0.0,0.4524,1,67.06853966346154,46.8489185970046,46.465655048076925,62.95688789867091,116.85450721153846,87.10973915910743,52.66271033653846,5.374632008316181,17.984480953255883,84.98148306495796,4154.936869333482,7221.852463919736
