,Prefer,Monotonous,Quiet,Extensive,Vivid,Oppressive
Ridge,0.065774842912456,0.03877080273996394,0.05655779470600879,0.03672909049425563,0.044686156025829336,0.0788528816550604
Lasso,0.030354692565372987,0.05000838021075888,0.05608418334009684,0.028867394510197764,0.03400804687069554,0.06685091042111534
ElasticNet,0.04347170568556796,0.03660331989273907,0.06010612993742349,0.03394430784960702,0.0276605714212376,0.07203200209752504
PLS,0.06573600811327163,0.04394038293890174,0.055786792278032744,0.03715753900704968,0.04099442545055889,0.08086727191608711
RandomForest,0.036293934983557236,0.06368622529372776,0.07803373298529447,0.03191967876140014,0.061376071731942684,0.08223704384183629
SVR,0.05171347469617722,0.05533384817960841,0.05569234811917385,0.03467434438255053,0.03997832014303267,0.05353841769763793
XGBoost,0.03534285447101728,0.06052551299809482,0.09751294945015068,0.017359078929571822,0.057278006815111596,0.0774700744740054
Hybrid Neural Network,0.0520984820365742,0.0877009773589871,0.0550914916169953,0.0415158134081252,0.0465077455452903,0.0584212613523942
