ID,Sky,High rise building,Low rise building,Grass,Hard ground,Tree,Water,Railing,Road,Barren land,Building interior,Floor,Hue_Mean,Hue_Std,Saturation_Mean,Saturation_Std,Brightness_Mean,Brightness_Std,EdgePixelRatio,Entropy,Colorfulness,Contrast,Sharpness,Image_Variance
104100497645,0.1336999999999999,0.0809,0.0028,0.0,0.0066,0.0243999999999999,0.0,0.0361,0.0002,0.0,0.7153,1,34.08230168269231,51.45926716495465,7.768599759615385,18.59144255781872,94.86881009615385,98.40771912527948,22.68028846153846,5.015701631718109,5.558367710295728,96.7931562678886,1577.1416480422163,9368.915100299902
104100655491,0.0726,0.1659,0.0012,0.005,0.0134,0.0572,0.0,0.1085,0.0001,0.0,0.5761,1,32.61177884615385,42.06978883823163,18.741616586538463,26.60939929875333,114.5875,97.16288724947323,44.60201322115385,5.338626123751559,16.520969127277027,95.20955594384236,3418.101381503675,9064.859543023647
104100698073,0.1112,0.3086,0.0025,0.002,0.0237,0.0387,0.0034,0.0579,0.0028,0.0021,0.4471,2,56.49909855769231,53.317045406869376,21.59296875,21.102616978706337,103.61373197115384,69.83043885039487,48.65534855769231,5.209899427975865,10.894202582991781,67.62274760293123,1926.2260365638506,4572.83599336974
104100776392,0.1052,0.1752,0.0106,0.0183,0.0159,0.0279,0.0,0.0908,0.0187,0.0014,0.5359,2,42.45712139423077,46.770407288836275,15.249489182692308,20.352774784922975,102.65528846153846,83.80377210858906,42.11944110576923,5.372273428226111,9.214366459746222,81.08331849086318,1984.2833667136651,6574.504537490755
104100892628,0.0528,0.1855,0.0118,0.0059,0.0107,0.0083,0.0,0.0797,0.004,0.0,0.6413,2,47.873227163461536,59.15813130552196,17.5359375,28.658186914843263,85.2895733173077,82.56128012221531,54.11853966346154,5.280619528919713,9.909972020104483,80.31045463031269,3117.274054163645,6449.769122927512
104100996599,0.2401,0.0265,0.0775,0.009,0.0295,0.0669,0.0001,0.0947,0.001,0.0,0.4545,2,46.12830528846154,47.21140509374858,13.342007211538462,26.883608456890784,117.82536057692307,108.7821980677745,30.76397235576923,4.898808371330977,10.952733493554158,107.30134434719275,3013.204132223637,11513.578498714833
104101228062,0.0176,0.111,0.0003,0.0022,0.0026,0.0466,0.0,0.0455,0.0,0.0,0.7742,1,34.86622596153846,47.042794052809995,17.91240985576923,28.648564617609132,70.87124399038461,87.6335356866198,44.87019230769231,5.463549188941707,14.519672121368293,85.2040558785171,3138.4260788993156,7259.731138149465
104101233125,0.0163,0.1035,0.0001,0.0183,0.0213,0.0873,0.0,0.1014,0.0,0.0,0.6518,1,51.22746394230769,49.725769036876606,33.44347956730769,35.34039643728596,96.93088942307692,76.98361562494773,57.32136418269231,5.4235142324188885,20.34581472734487,73.97688260246171,3914.5170642414882,5472.579159578402
104101319016,0.1423,0.1155,0.0295,0.0016,0.0032,0.0139,0.0,0.1236999999999999,0.0004,0.0,0.5698,2,49.91805889423077,54.47962457275084,19.84609375,35.86392371736077,83.9009014423077,85.54558346372383,34.03575721153846,5.315095028076857,10.594068964512532,82.89205945334886,2016.844782266109,6871.093520417524
104101339829,0.0951999999999999,0.0638,0.0664,0.0001,0.0227,0.0121,0.0032,0.0529,0.0067,0.0069999999999999,0.6697,1,32.42794471153846,48.79161784053633,13.840655048076924,28.18642011071024,69.55252403846154,84.22923238032762,30.924879807692307,5.235823853236191,10.241554463059947,81.96976511616532,1833.6734291789942,6719.042393199312
