dimension,config,split_scheme,fold,n_train,n_val,n_test,best_epoch,val_r2,test_r2,test_mse,test_rmse,test_r2_mean,test_r2_std,test_mse_mean,test_mse_std,test_rmse_mean,test_rmse_std
oppressive,resnet50_only,spatial_block,1,305,111,83,14,0.6667962993500596,0.6371887454353684,0.6629557412264392,0.8142209412846363,0.6361707208851267,0.06731543218195651,0.752681569064025,0.14107977492965434,0.8646353972092596,0.07974333010360989
oppressive,resnet50_only,spatial_block,2,292,133,74,28,0.7117458749445659,0.7332871268514644,0.6072770088999777,0.7792798014192192,0.6361707208851267,0.06731543218195651,0.752681569064025,0.14107977492965434,0.8646353972092596,0.07974333010360989
oppressive,resnet50_only,spatial_block,3,270,82,147,23,0.7317027514001793,0.648149076280332,0.7197021303508155,0.8483525978924186,0.6361707208851267,0.06731543218195651,0.752681569064025,0.14107977492965434,0.8646353972092596,0.07974333010360989
oppressive,resnet50_only,spatial_block,4,327,87,85,27,0.710265083518272,0.6163772202451645,0.8049082528463234,0.8971667920996204,0.6361707208851267,0.06731543218195651,0.752681569064025,0.14107977492965434,0.8646353972092596,0.07974333010360989
oppressive,resnet50_only,spatial_block,5,267,122,110,8,0.5515268431957512,0.5458514356133038,0.9685647119965686,0.984156853350404,0.6361707208851267,0.06731543218195651,0.752681569064025,0.14107977492965434,0.8646353972092596,0.07974333010360989
