,Prefer,Monotonous,Quiet,Extensive,Vivid,Oppressive
Ridge,0.8224753562417956,1.218503465703595,1.1409959310813775,0.8482044117877594,1.1391892325952158,0.9398152392213873
Lasso,0.8346075649962991,1.2291000476799916,1.1228994073521572,0.8636274622924089,1.14581630461348,0.9375945375184216
ElasticNet,0.8106049068766824,1.2163543974738726,1.1070141960375384,0.8524157622937288,1.1248880515171478,0.9303005841847825
PLS,0.8214012052344252,1.2260405041840334,1.1440106123447182,0.8480750450740946,1.1374969392190735,0.9458181262778675
RandomForest,0.8289377664181738,1.1560558869145872,0.9968054991696498,0.8412665884761479,1.0234483762399336,0.8986074120297998
SVR,0.8287411020497171,1.1520166777482637,1.0638956187913926,0.8667293369748039,1.0574975727320906,0.9614439496201228
XGBoost,0.8809124984747972,1.2204006738162057,1.037479109552176,0.911981102019093,1.0304335177198463,0.9089702315273254
Hybrid Neural Network,0.7051303027881264,1.0346275766024615,1.0143382475462228,0.7808731636581617,0.8794834282904865,0.8521696081701606
