,Prefer,Monotonous,Quiet,Extensive,Vivid,Oppressive
Ridge,0.057068959009067236,0.08305079741710376,0.0827400562367287,0.05603279572302197,0.09087737170692027,0.09283051964120202
Lasso,0.02676629191278677,0.10010453567211722,0.08661285408543683,0.045761159292846916,0.09479599180697469,0.07840122849031235
ElasticNet,0.03584728143658382,0.08956670757851072,0.09047928421029806,0.052488702195847045,0.08800812931650182,0.08428415319532191
PLS,0.05692016526135588,0.08511256501380657,0.08291585394372628,0.05704146888355991,0.0875062710275799,0.09279286486775343
RandomForest,0.03239151531220641,0.09423456252743359,0.11111175089447857,0.04835045258289202,0.09812811545125509,0.11520282442375504
SVR,0.03707224259205837,0.07140152150519409,0.07296802493311502,0.045694531999526874,0.09581248169148844,0.07520825457434635
XGBoost,0.017652942158386396,0.08767198997509484,0.12890774361898924,0.027261030311680572,0.05658226317404185,0.11279252146748417
Hybrid Neural Network,0.0679637968483497,0.119072235148712,0.0656379995365678,0.0602700167906727,0.0900818344303685,0.082497442237056
