dimension,train_r2,val_r2,test_r2,train_mse,val_mse,test_mse,train_rmse,val_rmse,test_rmse
prefer,0.8936,0.8491,0.8112,0.2192,0.338,0.3837,0.4681,0.5814,0.6194
monotonous,0.7048,0.4843,0.5845,0.6539,0.9776,0.7882,0.8086,0.9887,0.8878
quiet,0.8501,0.6012,0.5595,0.3155,0.8684,0.8598,0.5617,0.9319,0.9273
extensive,0.8948,0.6897,0.7499,0.2257,0.6308,0.4982,0.4751,0.7942,0.7058
vivid,0.8402,0.7009,0.6841,0.3635,0.545,0.5675,0.6029,0.7382,0.7533
oppressive,0.7986,0.648,0.7473,0.4591,0.5344,0.5308,0.6776,0.731,0.7285
