dimension,config,backend,split_scheme,fold,n_train,n_val,n_test,best_epoch,val_r2,test_r2,test_mse,test_rmse,test_r2_mean,test_r2_std,test_mse_mean,test_mse_std,test_rmse_mean,test_rmse_std
oppressive,semantic_colour,ridge,spatial_block,1,305,111,83,,,0.5154142422055267,0.8854711778764709,0.9409947810038433,0.5739134337634149,0.053832617515341734,0.8785067271621324,0.06703657140000849,0.9367442723567668,0.035652758815479954
oppressive,semantic_colour,ridge,spatial_block,2,292,133,74,,,0.6530313295656464,0.7900109820072798,0.8888256195718482,0.5739134337634149,0.053832617515341734,0.8785067271621324,0.06703657140000849,0.9367442723567668,0.035652758815479954
oppressive,semantic_colour,ridge,spatial_block,3,270,82,147,,,0.576104880218022,0.8670667014298999,0.9311641645971456,0.5739134337634149,0.053832617515341734,0.8785067271621324,0.06703657140000849,0.9367442723567668,0.035652758815479954
oppressive,semantic_colour,ridge,spatial_block,4,327,87,85,,,0.5338286438050455,0.9781097090932809,0.9889942917394826,0.5739134337634149,0.053832617515341734,0.8785067271621324,0.06703657140000849,0.9367442723567668,0.035652758815479954
oppressive,semantic_colour,ridge,spatial_block,5,267,122,110,,,0.5911880730228336,0.8718750654037306,0.9337425048715147,0.5739134337634149,0.053832617515341734,0.8785067271621324,0.06703657140000849,0.9367442723567668,0.035652758815479954
