dimension,config,backend,split_scheme,fold,n_train,n_val,n_test,best_epoch,val_r2,test_r2,test_mse,test_rmse,test_r2_mean,test_r2_std,test_mse_mean,test_mse_std,test_rmse_mean,test_rmse_std
extensive,semantic_colour,ridge,spatial_block,1,327,90,82,,,0.6363986214376802,0.7440216777066391,0.8625669120170557,0.6310560101469097,0.05402244119097331,0.7670881116731498,0.10005414811874216,0.8742821368059124,0.05829726553661961
extensive,semantic_colour,ridge,spatial_block,2,296,97,106,,,0.6230731199539424,0.7606290428540559,0.872140494905526,0.6310560101469097,0.05402244119097331,0.7670881116731498,0.10005414811874216,0.8742821368059124,0.05829726553661961
extensive,semantic_colour,ridge,spatial_block,3,331,85,83,,,0.7197738283907162,0.6153527466048322,0.7844442278485018,0.6310560101469097,0.05402244119097331,0.7670881116731498,0.10005414811874216,0.8742821368059124,0.05829726553661961
extensive,semantic_colour,ridge,spatial_block,4,271,123,105,,,0.5862991144334153,0.854703735727705,0.9245018851942407,0.6310560101469097,0.05402244119097331,0.7670881116731498,0.10005414811874216,0.8742821368059124,0.05829726553661961
extensive,semantic_colour,ridge,spatial_block,5,319,57,123,,,0.5897353665187941,0.8607333554725165,0.9277571640642375,0.6310560101469097,0.05402244119097331,0.7670881116731498,0.10005414811874216,0.8742821368059124,0.05829726553661961
