dimension,config,backend,split_scheme,fold,n_train,n_val,n_test,best_epoch,val_r2,test_r2,test_mse,test_rmse,test_r2_mean,test_r2_std,test_mse_mean,test_mse_std,test_rmse_mean,test_rmse_std
prefer,semantic_colour,ridge,spatial_block,1,308,97,94,,,0.6539384591947288,0.7252911316312328,0.8516402595176162,0.6617829323812959,0.016080561502000434,0.7062112437586946,0.029653549323581715,0.8402122772210385,0.017838615617927645
prefer,semantic_colour,ridge,spatial_block,2,306,97,96,,,0.671785140102543,0.7075868492160561,0.8411818169789788,0.6617829323812959,0.016080561502000434,0.7062112437586946,0.029653549323581715,0.8402122772210385,0.017838615617927645
prefer,semantic_colour,ridge,spatial_block,3,294,64,141,,,0.6417908035102862,0.7307649381204473,0.8548479035012294,0.6617829323812959,0.016080561502000434,0.7062112437586946,0.029653549323581715,0.8402122772210385,0.017838615617927645
prefer,semantic_colour,ridge,spatial_block,4,310,106,83,,,0.6832308894333987,0.7114158554518216,0.8434547145234423,0.6617829323812959,0.016080561502000434,0.7062112437586946,0.029653549323581715,0.8402122772210385,0.017838615617927645
prefer,semantic_colour,ridge,spatial_block,5,308,106,85,,,0.6581693696655233,0.6559974443739157,0.809936691583926,0.6617829323812959,0.016080561502000434,0.7062112437586946,0.029653549323581715,0.8402122772210385,0.017838615617927645
