dimension,test_r2_mean,test_r2_std,test_mse_mean,test_mse_std,test_rmse_mean,test_rmse_std
prefer,0.6617829323812959,0.0160805615020004,0.7062112437586946,0.0296535493235817,0.8402122772210385,0.0178386156179276
monotonous,0.2601062983737353,0.0911231762473728,1.5242726214201925,0.2955543886415873,1.2295051094911655,0.1254482321283822
quiet,0.3371771942396258,0.1575943319148683,1.4095090425931585,0.4394429317189752,1.17601306575381,0.1820106857078841
extensive,0.6310560101469097,0.0540224411909733,0.7670881116731498,0.1000541481187421,0.8742821368059124,0.0582972655366196
vivid,0.3876769812441438,0.0431040603766898,1.255372980850217,0.2229417286231499,1.1167759454395187,0.10114635768211
oppressive,0.5739134337634149,0.0538326175153417,0.8785067271621324,0.0670365714000084,0.9367442723567668,0.0356527588154799
