dimension,config,backend,split_scheme,fold,n_train,n_val,n_test,best_epoch,val_r2,test_r2,test_mse,test_rmse,test_r2_mean,test_r2_std,test_mse_mean,test_mse_std,test_rmse_mean,test_rmse_std
quiet,semantic_colour,ridge,spatial_block,1,293,108,98,,,0.4501543768596503,1.1062951022197738,1.0518056389940937,0.3371771942396258,0.15759433191486835,1.4095090425931585,0.43944293171897525,1.1760130657538101,0.1820106857078841
quiet,semantic_colour,ridge,spatial_block,2,275,107,117,,,0.41575622273069035,1.1285260766396839,1.0623210798245903,0.3371771942396258,0.15759433191486835,1.4095090425931585,0.43944293171897525,1.1760130657538101,0.1820106857078841
quiet,semantic_colour,ridge,spatial_block,3,315,114,70,,,0.16119446292679107,1.8844289555803475,1.3727450439103204,0.3371771942396258,0.15759433191486835,1.4095090425931585,0.43944293171897525,1.1760130657538101,0.1820106857078841
quiet,semantic_colour,ridge,spatial_block,4,256,115,128,,,0.48641624511796644,1.034013498660609,1.0168645429262488,0.3371771942396258,0.15759433191486835,1.4095090425931585,0.43944293171897525,1.1760130657538101,0.1820106857078841
quiet,semantic_colour,ridge,spatial_block,5,309,104,86,,,0.17236466356303082,1.894281579865378,1.3763290231137968,0.3371771942396258,0.15759433191486835,1.4095090425931585,0.43944293171897525,1.1760130657538101,0.1820106857078841
