dimension,config,backend,split_scheme,fold,n_train,n_val,n_test,best_epoch,val_r2,test_r2,test_mse,test_rmse,test_r2_mean,test_r2_std,test_mse_mean,test_mse_std,test_rmse_mean,test_rmse_std
oppressive,semantic_only,ridge,spatial_block,1,305,111,83,,,0.4563401567692964,0.9934157453174719,0.9967024356935584,0.5523423420447681,0.07044062232255964,0.9216719950662997,0.09166946702000366,0.9591068089851209,0.047250979152269515
oppressive,semantic_only,ridge,spatial_block,2,292,133,74,,,0.6214511261930797,0.8619157665145347,0.9283941870318527,0.5523423420447681,0.07044062232255964,0.9216719950662997,0.09166946702000366,0.9591068089851209,0.047250979152269515
oppressive,semantic_only,ridge,spatial_block,3,270,82,147,,,0.5808521515723903,0.857356278445691,0.9259353532756436,0.5523423420447681,0.07044062232255964,0.9216719950662997,0.09166946702000366,0.9591068089851209,0.047250979152269515
oppressive,semantic_only,ridge,spatial_block,4,327,87,85,,,0.5013297264782326,1.0462981684440136,1.0228871728807696,0.5523423420447681,0.07044062232255964,0.9216719950662997,0.09166946702000366,0.9591068089851209,0.047250979152269515
oppressive,semantic_only,ridge,spatial_block,5,267,122,110,,,0.6017385492108409,0.8493740166097871,0.9216148960437798,0.5523423420447681,0.07044062232255964,0.9216719950662997,0.09166946702000366,0.9591068089851209,0.047250979152269515
